drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.76389053652345,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),very_high
docetaxel,10.0,61.33716218787965,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),high
vinorelbine,10.0,54.148610634228724,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),high
vinblastine,10.0,49.65644763343579,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),moderate
temsirolimus,10.0,46.15763195583536,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),moderate
methotrexate,10.0,44.186483112338315,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),moderate
MG-132,10.0,34.040374200572,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),moderate
lestaurtinib,10.0,32.81057890146629,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),moderate
navitoclax,10.0,30.392184542216484,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),moderate
lapatinib,10.0,28.56859476513604,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
bortezomib,10.0,28.078521646794094,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
ABT-737,10.0,26.461453508200766,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
staurosporine,10.0,25.926261252551498,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
AZD-6482,10.0,25.55633466313968,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
foretinib,10.0,24.94453235963566,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
MK-1775,10.0,23.75563746600469,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
epirubicin,10.0,22.095078043577644,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
gemcitabine,10.0,21.82187699908397,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
sorafenib,10.0,21.506838616360053,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
nilotinib,10.0,19.085100563379722,PPARG(39); HES1(32); RB1(20); EGR1(16); TLR4(13),low
