drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.88945412367993,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),high
docetaxel,10.0,59.46272577503617,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),high
vinorelbine,10.0,52.26390885145368,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),high
vinblastine,10.0,47.77174585066074,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),moderate
temsirolimus,10.0,44.18506105556516,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),moderate
methotrexate,10.0,43.64136716423835,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),moderate
MG-132,10.0,33.3713604920121,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),moderate
lestaurtinib,10.0,30.415800415841318,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),moderate
navitoclax,10.0,28.68863295387901,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
lapatinib,10.0,26.569696853975874,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
bortezomib,10.0,26.26438328749669,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
ABT-737,10.0,24.757901919863286,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
AZD-6482,10.0,23.786989463858596,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
staurosporine,10.0,23.476843519330053,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
foretinib,10.0,22.43485063482824,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
MK-1775,10.0,21.497024386108546,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
gemcitabine,10.0,19.915553054068898,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
epirubicin,10.0,19.66605691819692,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
sorafenib,10.0,18.667301593158022,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
nilotinib,10.0,16.575418838572304,CDK4(36); CCL2(34); CDK1(22); EGR1(21); RB1(18),low
