drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.49303027327092,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),high
docetaxel,10.0,60.066301924627105,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),high
vinorelbine,10.0,51.82256753827011,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),high
vinblastine,10.0,47.33040453747718,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),moderate
methotrexate,10.0,44.697340273468846,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),moderate
temsirolimus,10.0,43.068521639579274,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),moderate
MG-132,10.0,33.970553871788034,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),moderate
lestaurtinib,10.0,29.68395315029499,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
lapatinib,10.0,27.8496301757481,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
navitoclax,10.0,27.44476208256985,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
bortezomib,10.0,27.108495119202214,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
AZD-6482,10.0,24.768599832172203,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
ABT-737,10.0,23.514031048554124,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
foretinib,10.0,23.4367454780885,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
MK-1775,10.0,22.863686553159916,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
staurosporine,10.0,22.744996253783796,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
gemcitabine,10.0,21.320239595521226,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
epirubicin,10.0,19.218547940323308,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
sorafenib,10.0,19.180013464086294,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
tanespimycin,10.0,17.008760661004477,SRC(24); CHEK1(23); CCL2(21); EGR1(15); BAX(12),low
