drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),very_high
sirolimus,0.04,100.0,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),very_high
docetaxel,1.11,68.65414226096222,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),high
paclitaxel,10.0,67.95837613936561,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),high
vinorelbine,10.0,50.54526479546205,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),high
vinblastine,10.0,49.15190348655777,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
NVP-AUY922,1.11,36.414767885000884,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
NVP-BEZ235,10.0,36.367555426546346,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
lestaurtinib,10.0,35.50648747181801,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
epirubicin,10.0,33.78439327807574,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
camptothecin,1.11,33.10243521346334,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
methotrexate,10.0,33.06235596879721,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
gemcitabine,10.0,31.975884793141045,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
staurosporine,10.0,31.219454948623362,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
GDC-0941,10.0,30.44602856136813,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),moderate
SN-38,1.11,27.79822323840541,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),low
tanespimycin,10.0,27.14328290195058,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),low
nutlin-3,10.0,25.438356958388145,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),low
topotecan,1.11,24.828952954843434,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),low
lapatinib,10.0,23.70270033598696,PPARG(27); JUN(25); HES1(24); CCL2(15); AXIN1(14),low
