drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.48920648201734,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),very_high
docetaxel,10.0,61.06247813337357,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),high
vinorelbine,10.0,53.530616995702665,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),high
vinblastine,10.0,49.03845399490974,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),moderate
temsirolimus,10.0,45.623248686469026,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),moderate
methotrexate,10.0,45.07955479514221,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),moderate
MG-132,10.0,34.80954812291596,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),moderate
lestaurtinib,10.0,31.799348799148742,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),moderate
navitoclax,10.0,30.59320923049806,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),moderate
lapatinib,10.0,28.337739783274337,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
bortezomib,10.0,27.70257091840054,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
ABT-737,10.0,26.662478196482343,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
AZD-6482,10.0,25.21258934585615,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
staurosporine,10.0,24.915031150233904,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
foretinib,10.0,24.222586672388914,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
MK-1775,10.0,23.65275077709189,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
gemcitabine,10.0,21.353740684972756,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
epirubicin,10.0,21.104244549100763,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
sorafenib,10.0,20.263865035801633,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
nilotinib,10.0,17.842126982821302,CHEK1(20); PMAIP1(13); BRCA1(13); RB1(12); CCND1(11),low
