drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.02438449026513,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),very_high
docetaxel,10.0,60.59765614162143,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),high
vinorelbine,10.0,53.43104462914896,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),high
vinblastine,10.0,48.93888162835602,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),moderate
temsirolimus,10.0,45.352196833260436,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),moderate
methotrexate,10.0,44.80850294193363,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),moderate
MG-132,10.0,34.53849626970738,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),moderate
lestaurtinib,10.0,31.582936193536575,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),moderate
navitoclax,10.0,29.752380705338506,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
lapatinib,10.0,28.12132717766224,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
bortezomib,10.0,27.43151906519196,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
ABT-737,10.0,25.82164967132279,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
AZD-6482,10.0,24.909332081537553,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
staurosporine,10.0,24.643979297025332,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
foretinib,10.0,23.60198641252352,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
MK-1775,10.0,23.016449298684897,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
gemcitabine,10.0,21.08268883176417,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
epirubicin,10.0,20.83319269589219,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
sorafenib,10.0,19.88775459571452,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
nilotinib,10.0,17.742554616267583,HES1(28); ABL1(19); AKT1(18); RB1(17); CCL2(16),low
