drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.94771627733044,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),high
docetaxel,10.0,59.520987928686665,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),high
vinorelbine,10.0,51.8390405055014,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),high
vinblastine,10.0,47.34687750470847,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),moderate
methotrexate,10.0,43.62972575902238,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),moderate
temsirolimus,10.0,43.58101802781467,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),moderate
MG-132,10.0,32.94649214605984,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),moderate
lestaurtinib,10.0,29.37269705387066,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
navitoclax,10.0,28.166557485220086,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
lapatinib,10.0,26.68080625640874,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
bortezomib,10.0,25.83951494154442,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
ABT-737,10.0,24.23582645120436,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
AZD-6482,10.0,23.499619654514408,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
foretinib,10.0,22.531010182187654,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
staurosporine,10.0,22.433740157359452,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
MK-1775,10.0,21.939781085750155,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
gemcitabine,10.0,19.90391164885293,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
sorafenib,10.0,18.62692779319685,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
epirubicin,10.0,18.622953556226317,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
nilotinib,10.0,16.150550492620035,HES1(22); CCND1(16); EGR1(15); KDM5A(14); PMAIP1(10),low
