drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),very_high
sirolimus,1.11,99.56051200625245,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),very_high
docetaxel,1.11,66.74191403168732,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),high
paclitaxel,10.0,66.04614791009071,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),high
vinorelbine,10.0,49.83596179682805,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
vinblastine,10.0,48.44260048792377,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
NVP-BEZ235,10.0,34.00979656875635,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
NVP-AUY922,1.11,33.9441791422816,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
lestaurtinib,10.0,33.134843187617975,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
methotrexate,10.0,32.84220692686674,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
epirubicin,10.0,31.43681654038296,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
camptothecin,1.11,30.59073920771829,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
gemcitabine,10.0,30.178533134503393,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),moderate
staurosporine,10.0,28.878977258263355,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),low
GDC-0941,10.0,28.4164251421382,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),low
SN-38,1.11,25.286527232660394,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),low
tanespimycin,10.0,25.24265483815655,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),low
nutlin-3,10.0,24.186478856474974,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),low
topotecan,1.11,22.317256949098418,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),low
lapatinib,10.0,21.690378084187085,KDM5A(27); CCL2(21); BRCA1(15); EGR1(8); BID(7),low
