drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.50361840351438,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),high
docetaxel,10.0,59.07689005487064,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),high
vinorelbine,10.0,51.427148042795395,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),high
vinblastine,10.0,46.93498504200247,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),moderate
methotrexate,10.0,43.11723364058635,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),moderate
temsirolimus,10.0,42.177048783400366,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),moderate
MG-132,10.0,32.47985037503827,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),moderate
lestaurtinib,10.0,27.968727809456357,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
navitoclax,10.0,26.742191632965064,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
lapatinib,10.0,26.16831413797271,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
bortezomib,10.0,25.327022823108383,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
AZD-6482,10.0,22.96750987387466,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
ABT-737,10.0,22.81146059894934,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
foretinib,10.0,22.073267372067175,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
MK-1775,10.0,21.395083556204103,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
staurosporine,10.0,21.029770912945143,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
gemcitabine,10.0,19.3914195304169,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
sorafenib,10.0,17.8380076619465,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
epirubicin,10.0,17.198587703971288,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
nilotinib,10.0,15.69280768249956,EGR1(23); CCL2(21); AKT1(15); PARP1(14); CASP3(14),low
