drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.62716921994554,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),high
docetaxel,10.0,59.20044087130177,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),high
vinorelbine,10.0,51.85153766220491,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),high
vinblastine,10.0,47.35937466141198,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),moderate
methotrexate,10.0,43.596372568311416,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),moderate
temsirolimus,10.0,42.462173550741674,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),moderate
MG-132,10.0,32.958989302763335,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),moderate
lestaurtinib,10.0,28.70832134446943,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
lapatinib,10.0,26.74544789912211,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
navitoclax,10.0,26.50948885934639,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
bortezomib,10.0,25.80616175083344,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
AZD-6482,10.0,23.478854212709734,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
ABT-737,10.0,22.578757825330666,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
foretinib,10.0,21.99342486639604,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
staurosporine,10.0,21.769364447958214,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
MK-1775,10.0,21.59017944918182,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
gemcitabine,10.0,19.87055845814195,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
sorafenib,10.0,18.610370370716918,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
epirubicin,10.0,17.95857784682508,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
nilotinib,10.0,16.133993070140104,CHEK1(30); CCL2(28); HSPB1(14); PPARG(12); HSPA1A(12),low
