drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.2256149357529,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),very_high
docetaxel,10.0,60.79888658710912,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),high
vinorelbine,10.0,53.26702544943823,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),high
vinblastine,10.0,48.7748624486453,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),moderate
methotrexate,10.0,43.91639400003518,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),moderate
temsirolimus,10.0,43.164980009238924,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),moderate
MG-132,10.0,33.64638732780894,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),moderate
lestaurtinib,10.0,29.395719369515035,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
navitoclax,10.0,28.08619177462867,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
lapatinib,10.0,27.229218235763785,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
bortezomib,10.0,26.539410123293504,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
ABT-737,10.0,24.155460740612945,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
AZD-6482,10.0,24.049428550749106,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
foretinib,10.0,23.958995126124467,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
MK-1775,10.0,22.48958998198486,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
staurosporine,10.0,22.456762473003813,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
gemcitabine,10.0,20.19057988986572,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
sorafenib,10.0,20.054912737133662,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
epirubicin,10.0,18.64597587187067,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
nilotinib,10.0,17.578535436556848,CCL2(38); PMAIP1(13); HES1(12); RB1(11); ERBB2(10),low
