drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),very_high
sirolimus,1.11,99.31719814146578,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),very_high
docetaxel,1.11,66.0493189866291,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),high
paclitaxel,10.0,65.71742936809821,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),high
vinorelbine,10.0,50.15539368300297,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),high
vinblastine,10.0,48.76203237409869,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
NVP-AUY922,1.11,34.98991810540147,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
methotrexate,10.0,34.89828598260709,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
NVP-BEZ235,10.0,34.75112346478377,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
lestaurtinib,10.0,33.47257951888479,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
epirubicin,10.0,33.08930503136274,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
gemcitabine,10.0,31.93855412957281,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
camptothecin,1.11,31.662177502644482,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
staurosporine,10.0,30.935056314003702,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),moderate
GDC-0941,10.0,29.77285557244701,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),low
tanespimycin,10.0,27.298733893896898,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),low
SN-38,1.11,26.35796552758655,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),low
nutlin-3,10.0,26.242557912215315,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),low
lapatinib,10.0,23.74645713992744,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),low
navitoclax,10.0,23.657038425253482,RB1(16); AKT1(14); CASP3(13); AXIN1(10); KDM5A(9),low
