drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.34303515252476,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),high
docetaxel,10.0,58.91630680388098,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),high
vinorelbine,10.0,51.59960900589414,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),high
vinblastine,10.0,47.1074460051012,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),moderate
methotrexate,10.0,42.716953805542936,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),moderate
temsirolimus,10.0,42.66824607433523,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),moderate
MG-132,10.0,32.03372019258036,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),moderate
lestaurtinib,10.0,28.45992510039123,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
navitoclax,10.0,26.732757638428968,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
lapatinib,10.0,25.768034302929298,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
bortezomib,10.0,24.92674298806497,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
ABT-737,10.0,22.802026604413243,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
AZD-6482,10.0,22.554642289924942,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
foretinib,10.0,21.7705507892687,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
staurosporine,10.0,21.52096820388001,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
MK-1775,10.0,20.661759507072293,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
gemcitabine,10.0,18.99113969537348,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
sorafenib,10.0,18.387496293589578,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
epirubicin,10.0,17.710181602746875,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
nilotinib,10.0,15.911118993012778,CCL2(39); EGR1(32); PPARG(28); KDM5A(26); HSPB1(16),low
