drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.77636322612193,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),high
docetaxel,10.0,59.34963487747816,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),high
vinorelbine,10.0,51.667687454292896,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),high
vinblastine,10.0,47.17552445349997,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),moderate
temsirolimus,10.0,43.97315068430895,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),moderate
methotrexate,10.0,43.403623399498315,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),moderate
MG-132,10.0,32.720389786535776,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),moderate
lestaurtinib,10.0,29.764829710364967,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
navitoclax,10.0,28.55869014171435,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
lapatinib,10.0,26.070209350893585,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
bortezomib,10.0,25.61341258202036,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
ABT-737,10.0,24.627959107698626,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
AZD-6482,10.0,23.27351729499034,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
staurosporine,10.0,22.825872813853724,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
foretinib,10.0,22.359657130979144,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
MK-1775,10.0,21.329184180235,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
gemcitabine,10.0,19.677809289328863,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
epirubicin,10.0,19.01508621272059,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
sorafenib,10.0,17.73990287486738,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
nilotinib,10.0,15.979197441411522,AKT1(20); BRCA1(19); CHEK1(18); PPARG(14); CCL2(14),low
