drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,67.68655070062853,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),high
docetaxel,10.0,58.25982235198474,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),high
vinorelbine,10.0,51.09321083951227,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),high
vinblastine,10.0,46.60104783871933,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),moderate
methotrexate,10.0,42.971648311913505,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),moderate
temsirolimus,10.0,42.26608466853171,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),moderate
MG-132,10.0,32.74749198710172,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),moderate
lestaurtinib,10.0,28.442184781211356,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
navitoclax,10.0,26.7150173192491,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
lapatinib,10.0,26.229833300045655,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
bortezomib,10.0,25.594664435171865,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
AZD-6482,10.0,23.07247745151745,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
ABT-737,10.0,22.78428628523338,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
staurosporine,10.0,21.557867132296625,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
foretinib,10.0,21.21830227547239,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
MK-1775,10.0,21.179594668664794,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
gemcitabine,10.0,19.245834201744067,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
sorafenib,10.0,17.780608532196784,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
epirubicin,10.0,17.74708053116349,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
tanespimycin,10.0,15.393432555378093,KDM5A(30); EGR1(28); PPARG(28); CCL2(22); PMAIP1(20),low
