drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),very_high
sirolimus,1.11,100.0,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),very_high
docetaxel,1.11,67.47573107736885,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),high
paclitaxel,10.0,67.143841458838,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),high
vinorelbine,10.0,51.59660060122084,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),high
vinblastine,10.0,50.20323929231656,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),high
NVP-BEZ235,10.0,35.77394499076294,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
NVP-AUY922,1.11,35.10157803642834,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
lestaurtinib,10.0,34.89899160962457,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
methotrexate,10.0,34.606355348873365,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
epirubicin,10.0,33.0467863635229,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
camptothecin,1.11,31.74813810186511,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
gemcitabine,10.0,31.49244489697234,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
staurosporine,10.0,30.643125680269947,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),moderate
GDC-0941,10.0,29.884515503473853,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),low
tanespimycin,10.0,27.006803260163142,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),low
SN-38,1.11,26.443926126807145,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),low
nutlin-3,10.0,25.950627278481566,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),low
topotecan,1.11,23.47465584324517,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),low
lapatinib,10.0,23.454526506193677,KDM5A(18); JUN(16); AKT1(15); RB1(13); GATA3(11),low
