drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.86655494100383,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),very_high
sirolimus,1.11,98.60175409118679,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),very_high
docetaxel,1.11,65.3463525241305,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),high
paclitaxel,10.0,64.65058640253386,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),high
vinorelbine,10.0,48.44040028927126,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
vinblastine,10.0,47.047038980366985,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
NVP-AUY922,1.11,34.30017338692887,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
methotrexate,10.0,33.70173149098766,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
NVP-BEZ235,10.0,33.424457920805,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
lestaurtinib,10.0,32.04597422019301,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
epirubicin,10.0,31.792810785030237,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
gemcitabine,10.0,31.038057698624318,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
camptothecin,1.11,30.615898773751507,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),moderate
staurosporine,10.0,29.013144178256468,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),low
GDC-0941,10.0,28.772419386785497,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),low
tanespimycin,10.0,26.102179402277475,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),low
SN-38,1.11,25.642521477307692,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),low
nutlin-3,10.0,25.04600342059589,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),low
navitoclax,10.0,22.53779584911114,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),low
topotecan,1.11,22.342416515131628,RB1(46); CHEK1(44); JUN(38); KDM5A(37); CDK4(22),low
