drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,73.57171654512462,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),very_high
docetaxel,10.0,62.38286418497435,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),high
vinorelbine,10.0,56.473306143227155,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),high
vinblastine,10.0,51.98114314243423,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),high
temsirolimus,10.0,47.34542870180213,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),moderate
methotrexate,10.0,46.92440556207305,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),moderate
MG-132,10.0,36.365069709570456,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),moderate
lestaurtinib,10.0,33.55931531321294,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),moderate
lapatinib,10.0,31.044773476528494,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),moderate
bortezomib,10.0,30.40321715579252,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),moderate
navitoclax,10.0,29.796436809532434,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
AZD-6482,10.0,28.031116457652473,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
staurosporine,10.0,26.67499766429812,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
MK-1775,10.0,26.563463474605893,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
foretinib,10.0,26.02813175043919,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
ABT-737,10.0,25.865705775516716,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
gemcitabine,10.0,24.559799448818676,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
sorafenib,10.0,23.831534125358473,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
epirubicin,10.0,22.843814455324274,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
nilotinib,10.0,21.409796072378143,PPARG(62); CCL2(37); HES1(30); GATA3(25); PMAIP1(25),low
