drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),very_high
sirolimus,1.11,99.34167727817874,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),very_high
docetaxel,1.11,66.52991279881489,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),high
paclitaxel,10.0,65.83414667721829,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),high
vinorelbine,10.0,49.62396056395562,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
vinblastine,10.0,48.23059925505134,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
NVP-BEZ235,10.0,34.301325655357545,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
NVP-AUY922,1.11,33.72534441420786,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
methotrexate,10.0,33.13373601346792,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
lestaurtinib,10.0,32.92284195474554,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
epirubicin,10.0,31.224815307510536,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
gemcitabine,10.0,30.470062221104588,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
camptothecin,1.11,30.378737974845865,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),moderate
staurosporine,10.0,28.57525975309609,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),low
GDC-0941,10.0,28.25972365739537,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),low
tanespimycin,10.0,25.534183924757752,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),low
SN-38,1.11,25.07452599978797,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),low
nutlin-3,10.0,24.471174447874862,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),low
topotecan,1.11,22.105255716225994,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),low
navitoclax,10.0,21.892488456114336,KDM5A(39); CCL2(39); HES1(22); JUN(18); HSPB1(16),low
