drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),very_high
sirolimus,1.11,99.91469070960393,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),very_high
docetaxel,1.11,67.0960927350388,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),high
paclitaxel,10.0,66.40032661344219,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),high
vinorelbine,10.0,50.19014050017953,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),high
vinblastine,10.0,48.79677919127525,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
NVP-BEZ235,10.0,34.36397527210783,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
NVP-AUY922,1.11,34.29835784563308,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
lestaurtinib,10.0,33.502907317379496,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
methotrexate,10.0,33.196385630218224,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
epirubicin,10.0,31.650702071277774,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
camptothecin,1.11,30.968744006665393,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
gemcitabine,10.0,30.392418665398214,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),moderate
staurosporine,10.0,29.233155961614845,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),low
GDC-0941,10.0,28.77060384548969,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),low
SN-38,1.11,25.66453203160749,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),low
tanespimycin,10.0,25.59683354150804,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),low
nutlin-3,10.0,24.540657559826464,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),low
topotecan,1.11,22.695261748045514,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),low
lapatinib,10.0,22.044556787538575,CCL2(18); HSPB1(17); KDM5A(16); PPARG(13); HDAC2(11),low
