drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),very_high
sirolimus,1.11,100.0,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),very_high
docetaxel,1.11,67.3634714710666,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),high
paclitaxel,10.0,66.66770534947,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),high
vinorelbine,10.0,50.647885169918105,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),high
vinblastine,10.0,49.25452386101382,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
NVP-BEZ235,10.0,34.631354008135574,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
NVP-AUY922,1.11,34.56573658166082,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
lestaurtinib,10.0,33.7564006269972,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
methotrexate,10.0,33.46376436624597,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
epirubicin,10.0,31.904195380895448,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
camptothecin,1.11,31.23612274269314,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
gemcitabine,10.0,30.645911975015924,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),moderate
staurosporine,10.0,29.500534697642593,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),low
GDC-0941,10.0,29.037982581517436,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),low
SN-38,1.11,25.931910767635237,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),low
tanespimycin,10.0,25.86421227753579,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),low
nutlin-3,10.0,24.80803629585421,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),low
topotecan,1.11,22.962640484073262,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),low
lapatinib,10.0,22.311935523566323,EGR1(21); JUN(18); SRC(14); AKT1(14); RB1(12),low
