drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.21354349693117,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),high
docetaxel,10.0,59.78681514828741,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),high
vinorelbine,10.0,52.254954010616515,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),high
vinblastine,10.0,47.76279100982359,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),moderate
methotrexate,10.0,43.57766301508564,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),moderate
temsirolimus,10.0,42.54539780916065,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),moderate
MG-132,10.0,33.30765634285939,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),moderate
lestaurtinib,10.0,28.77613716943674,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
navitoclax,10.0,27.56999760078616,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
lapatinib,10.0,26.890487250814232,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
bortezomib,10.0,26.20067913834395,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
AZD-6482,10.0,23.723285314705866,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
ABT-737,10.0,23.639266566770434,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
foretinib,10.0,22.946923687302743,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
MK-1775,10.0,22.150858997035307,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
staurosporine,10.0,21.837180272925526,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
gemcitabine,10.0,19.851848904916174,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
sorafenib,10.0,19.042841298311938,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
epirubicin,10.0,18.02639367179239,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
nilotinib,10.0,16.566463997735124,PMAIP1(16); CCND1(12); EGR1(12); RB1(11); CHEK1(9),low
