drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),very_high
sirolimus,1.11,100.0,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),very_high
docetaxel,1.11,67.4438938952785,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),high
paclitaxel,10.0,66.7481277736819,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),high
vinorelbine,10.0,50.5705393269763,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),high
vinblastine,10.0,49.17717801807202,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
NVP-BEZ235,10.0,34.7626785439965,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
NVP-AUY922,1.11,34.69706111752175,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
lestaurtinib,10.0,33.887725162858125,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
methotrexate,10.0,33.595088902106895,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
epirubicin,10.0,32.03551991675643,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
camptothecin,1.11,31.34362118295849,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
gemcitabine,10.0,30.77723651087687,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),moderate
GDC-0941,10.0,29.169307117378384,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),low
staurosporine,10.0,29.036612641735083,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),low
SN-38,1.11,26.03940920790058,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),low
tanespimycin,10.0,25.975801213526502,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),low
nutlin-3,10.0,24.888458720066176,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),low
topotecan,1.11,23.07013892433861,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),low
navitoclax,10.0,22.353841344753327,CDK4(14); HES1(14); PMAIP1(14); PPARG(13); JUN(12),low
