drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.50283798638513,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),high
docetaxel,10.0,59.07610963774136,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),high
vinorelbine,10.0,51.516769798943166,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),high
vinblastine,10.0,47.02460679815024,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),moderate
temsirolimus,10.0,43.563149827282174,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),moderate
methotrexate,10.0,43.30745505246414,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),moderate
MG-132,10.0,32.6242214395016,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),moderate
lestaurtinib,10.0,29.668661363330795,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
navitoclax,10.0,28.46252179468017,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
lapatinib,10.0,25.974041003859398,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
bortezomib,10.0,25.517244234986173,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
ABT-737,10.0,24.531790760664446,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
AZD-6482,10.0,23.189936696862468,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
staurosporine,10.0,22.729704466819545,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
foretinib,10.0,21.894906965636807,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
MK-1775,10.0,21.11040824881375,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
gemcitabine,10.0,19.581640942294683,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
epirubicin,10.0,18.91891786568641,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
sorafenib,10.0,17.588985219517635,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
nilotinib,10.0,15.82827978606179,SRC(19); EGR1(15); CHEK1(14); HDAC2(14); PPARG(12),low
