drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),very_high
sirolimus,0.37,100.0,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),very_high
docetaxel,1.11,67.64720288721178,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),high
paclitaxel,10.0,67.31531326868092,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),high
vinorelbine,10.0,51.76807241106379,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),high
vinblastine,10.0,50.37471110215951,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),high
NVP-BEZ235,10.0,35.94541680060589,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
NVP-AUY922,1.11,35.266216351069986,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
lestaurtinib,10.0,35.070463419467515,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
methotrexate,10.0,34.77782715871631,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
epirubicin,10.0,33.21825817336585,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
camptothecin,1.11,31.919609911708065,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
gemcitabine,10.0,31.66391670681529,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
staurosporine,10.0,30.219350898344437,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
GDC-0941,10.0,30.055987313316802,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),moderate
tanespimycin,10.0,27.17827507000609,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),low
SN-38,1.11,26.615397936650094,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),low
nutlin-3,10.0,26.11526559312321,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),low
topotecan,1.11,23.64612765308812,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),low
navitoclax,10.0,23.536579601362682,RB1(16); HSPB1(14); CASP3(10); HES1(9); CHEK1(9),low
