drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.3773376653745,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),high
docetaxel,10.0,59.950609316730684,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),high
vinorelbine,10.0,52.4234748890425,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),high
vinblastine,10.0,47.931311888249574,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),moderate
methotrexate,10.0,44.70624034127895,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),moderate
temsirolimus,10.0,43.3859760188452,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),moderate
MG-132,10.0,34.02300672831641,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),moderate
lestaurtinib,10.0,29.436848307297314,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
navitoclax,10.0,28.127320712410928,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
lapatinib,10.0,27.702681591068824,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
bortezomib,10.0,26.916029523800987,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
AZD-6482,10.0,24.556516574567258,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
ABT-737,10.0,24.19658967839521,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
MK-1775,10.0,22.86148267250963,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
foretinib,10.0,22.801612055736157,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
staurosporine,10.0,22.552530658382555,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
gemcitabine,10.0,20.980426231109483,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
sorafenib,10.0,19.15672292914147,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
epirubicin,10.0,18.741744057249413,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
pevonedistat,10.0,16.774660932806746,CCL2(41); EGR1(28); HDAC2(16); HES1(14); HMGCR(13),low
