drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.53565172413231,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),very_high
docetaxel,10.0,61.10892337548851,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),high
vinorelbine,10.0,53.42697595230324,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),high
vinblastine,10.0,48.93481295151031,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),moderate
temsirolimus,10.0,44.925264659897266,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),moderate
methotrexate,10.0,44.82372817187434,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),moderate
MG-132,10.0,34.032566625644364,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),moderate
lestaurtinib,10.0,31.02236730187711,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),moderate
navitoclax,10.0,29.816227733226473,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
lapatinib,10.0,27.712241488396796,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
bortezomib,10.0,26.92558942112895,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
ABT-737,10.0,25.885496699210755,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
AZD-6482,10.0,24.598281883005246,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
foretinib,10.0,24.226873562256937,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
staurosporine,10.0,24.138049652962316,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
MK-1775,10.0,23.02585556533468,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
gemcitabine,10.0,21.097914061704902,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
epirubicin,10.0,20.327263051829174,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
sorafenib,10.0,19.936974604539778,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
nilotinib,10.0,17.738485939421885,PPARG(29); CCL2(19); KDM5A(13); EGR1(12); HES1(10),low
