drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),very_high
sirolimus,1.11,99.89934567719484,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),very_high
docetaxel,1.11,67.65287549577435,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),high
paclitaxel,10.0,66.95710937417775,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),high
vinorelbine,10.0,50.74341364330131,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),high
vinblastine,10.0,49.35005233439703,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
NVP-BEZ235,10.0,34.92075803284341,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
NVP-AUY922,1.11,34.28301281322399,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
lestaurtinib,10.0,34.059690078115075,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
methotrexate,10.0,33.7531683909538,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
epirubicin,10.0,32.361663430880064,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
camptothecin,1.11,31.525526767400976,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
gemcitabine,10.0,31.103380025000483,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),moderate
GDC-0941,10.0,29.327386606225243,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),low
staurosporine,10.0,29.22464442440704,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),low
SN-38,1.11,26.221314792343044,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),low
tanespimycin,10.0,25.58832200430024,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),low
nutlin-3,10.0,25.090606825360712,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),low
topotecan,1.11,23.25204450878107,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),low
lapatinib,10.0,22.60133954827413,JUN(39); EGR1(22); GATA3(20); CDK4(16); PPARG(12),low
