drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.66833026621818,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),high
docetaxel,10.0,60.241601917574336,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),high
vinorelbine,10.0,52.15268052671443,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),high
vinblastine,10.0,47.6605175259215,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),moderate
methotrexate,10.0,44.97270395359761,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),moderate
temsirolimus,10.0,42.83350701397084,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),moderate
MG-132,10.0,34.2459175519168,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),moderate
lestaurtinib,10.0,29.959316830423795,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
lapatinib,10.0,28.509488401867966,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
navitoclax,10.0,27.523579966954028,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
bortezomib,10.0,27.38385879933099,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
AZD-6482,10.0,25.024345850097262,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
ABT-737,10.0,23.592848932938303,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
foretinib,10.0,23.453025956540234,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
MK-1775,10.0,23.368731783782696,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
staurosporine,10.0,23.020359933912566,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
gemcitabine,10.0,21.59560327564999,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
sorafenib,10.0,19.563443677391838,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
epirubicin,10.0,19.493911620452078,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
nilotinib,10.0,17.310315764677462,CCND1(23); CCL2(22); PPARG(15); PMAIP1(14); CDKN1B(10),low
