drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),very_high
sirolimus,1.11,99.77385989653662,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),very_high
docetaxel,1.11,66.90884306967764,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),high
paclitaxel,10.0,66.21307694808104,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),high
vinorelbine,10.0,50.21748590663059,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),high
vinblastine,10.0,48.82412459772631,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
NVP-BEZ235,10.0,34.19744512723426,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
NVP-AUY922,1.11,34.13182770075951,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
lestaurtinib,10.0,33.322491746095885,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
methotrexate,10.0,33.02985548534465,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
epirubicin,10.0,31.624465098860867,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
camptothecin,1.11,30.82791319359805,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
gemcitabine,10.0,30.34546217249371,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),moderate
staurosporine,10.0,29.06662581674126,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),low
GDC-0941,10.0,28.604073700616105,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),low
SN-38,1.11,25.523701218540154,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),low
tanespimycin,10.0,25.430303396634457,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),low
nutlin-3,10.0,24.37412741495288,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),low
topotecan,1.11,22.55443093497818,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),low
lapatinib,10.0,21.87802664266499,PPARG(25); CHEK1(17); KDM5A(17); CDK4(15); AXIN1(12),low
