drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),very_high
sirolimus,1.11,100.0,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),very_high
docetaxel,1.11,67.32760044826767,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),high
paclitaxel,10.0,66.99571082973682,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),high
vinorelbine,10.0,51.49937208376867,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),high
vinblastine,10.0,50.10601077486439,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),high
NVP-BEZ235,10.0,35.67671647331077,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
NVP-AUY922,1.11,35.00434951897617,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
lestaurtinib,10.0,34.80176309217239,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
methotrexate,10.0,34.50912683142119,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
epirubicin,10.0,33.10373644493744,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
camptothecin,1.11,31.65090958441293,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
gemcitabine,10.0,31.5493949783869,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
staurosporine,10.0,30.54589716281779,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),moderate
GDC-0941,10.0,29.8425867341513,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),low
tanespimycin,10.0,26.889839142840753,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),low
SN-38,1.11,26.34669760935499,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),low
nutlin-3,10.0,25.802496649380426,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),low
topotecan,1.11,23.377427325793015,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),low
lapatinib,10.0,23.35729798874153,CDK4(48); RB1(31); CASP3(23); HSPB1(19); CCL2(16),low
