drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),very_high
sirolimus,1.11,98.82629037031585,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),very_high
docetaxel,1.11,66.13053900862381,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),high
paclitaxel,10.0,65.79864939009295,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),high
vinorelbine,10.0,50.43399887393614,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),high
vinblastine,10.0,49.04063756503186,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
methotrexate,10.0,34.979506004601824,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
NVP-BEZ235,10.0,34.832343486778505,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
NVP-AUY922,1.11,34.499010334251544,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
lestaurtinib,10.0,33.56768496728957,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
epirubicin,10.0,33.184410479767536,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
gemcitabine,10.0,32.03365957797761,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
camptothecin,1.11,31.767223620234848,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
staurosporine,10.0,30.450982038055074,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),moderate
GDC-0941,10.0,29.854075594441742,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),low
tanespimycin,10.0,26.81465961794827,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),low
SN-38,1.11,26.463011645176888,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),low
nutlin-3,10.0,26.31694443900874,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),low
lapatinib,10.0,23.82767716192217,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),low
navitoclax,10.0,23.73502852153722,GATA3(89); JUN(44); CHEK1(42); SRC(38); EGR1(37),low
