drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.22917892375678,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),high
docetaxel,10.0,59.802450575113006,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),high
vinorelbine,10.0,52.12050315192774,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),high
vinblastine,10.0,47.628340151134815,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),moderate
methotrexate,10.0,43.865338058034254,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),moderate
temsirolimus,10.0,42.921552361238604,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),moderate
MG-132,10.0,33.22795479248617,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),moderate
lestaurtinib,10.0,28.696435619063582,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
navitoclax,10.0,27.489895563155045,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
lapatinib,10.0,27.01441338884499,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
bortezomib,10.0,26.07512724055632,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
AZD-6482,10.0,23.735231953526302,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
ABT-737,10.0,23.55916452913932,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
foretinib,10.0,22.783418249430603,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
MK-1775,10.0,22.192189152993105,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
staurosporine,10.0,21.75747872255236,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
gemcitabine,10.0,20.13952394786483,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
sorafenib,10.0,18.548158539309927,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
epirubicin,10.0,17.94669212141922,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
nilotinib,10.0,16.402958559862984,SRC(25); PPARG(16); PMAIP1(10); HMGCR(8); BCL2(6),low
