drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,0.37,100.0,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),very_high
temsirolimus,0.04,100.0,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),very_high
docetaxel,1.11,69.628566692299,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),high
paclitaxel,10.0,68.9328005707024,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),high
vinorelbine,10.0,56.152957476965476,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),high
vinblastine,10.0,54.7595961680612,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),high
NVP-BEZ235,10.0,41.420813642926426,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
NVP-AUY922,1.11,40.399877030153625,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
camptothecin,1.11,37.67092160327436,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
methotrexate,10.0,36.46245056970943,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
lestaurtinib,10.0,36.43031414744751,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
GDC-0941,10.0,36.00036356319807,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
epirubicin,10.0,34.57810890134587,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
gemcitabine,10.0,33.74738405221077,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
SN-38,1.11,32.87046565372028,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
staurosporine,10.0,32.157167050662956,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),moderate
nutlin-3,10.0,29.80484308768631,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),low
topotecan,1.11,29.570360691544128,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),low
tanespimycin,10.0,28.948403187300567,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),low
BI-2536,1.11,28.703038094735902,JUN(48); CCL2(30); RB1(22); KDM5A(19); PPARG(18),low
