drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),very_high
sirolimus,1.11,99.59104604384827,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),very_high
docetaxel,1.11,66.77244806928313,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),high
paclitaxel,10.0,66.07668194768652,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),high
vinorelbine,10.0,49.862986216810064,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
vinblastine,10.0,48.46962490790578,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
NVP-BEZ235,10.0,34.672758815234474,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
NVP-AUY922,1.11,33.97471317987741,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
methotrexate,10.0,33.35949220337726,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
lestaurtinib,10.0,33.16537722521379,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
epirubicin,10.0,31.467350577978767,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
gemcitabine,10.0,30.841495380981517,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
camptothecin,1.11,30.621273245314104,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),moderate
staurosporine,10.0,28.94669291297302,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),low
GDC-0941,10.0,28.5022589278636,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),low
tanespimycin,10.0,25.905617084634674,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),low
SN-38,1.11,25.3170612702562,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),low
nutlin-3,10.0,24.849441102953097,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),low
topotecan,1.11,22.347790986694225,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),low
navitoclax,10.0,22.263921615991258,CCL2(15); CHEK1(13); HES1(11); CDKN1B(8); KDM5A(8),low
