drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),very_high
sirolimus,1.11,100.0,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),very_high
docetaxel,1.11,67.48862584884547,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),high
paclitaxel,10.0,67.15673623031462,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),high
vinorelbine,10.0,51.5947005452194,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),high
vinblastine,10.0,50.20133923631512,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),high
NVP-BEZ235,10.0,35.7868397622396,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
NVP-AUY922,1.11,35.114472807905,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
lestaurtinib,10.0,34.911886381101226,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
methotrexate,10.0,34.619250120350024,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
epirubicin,10.0,33.05968113499956,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
camptothecin,1.11,31.786732205148017,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
gemcitabine,10.0,31.50533966844901,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
staurosporine,10.0,30.65602045174661,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),moderate
GDC-0941,10.0,29.897410274950524,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),low
tanespimycin,10.0,27.019698031639813,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),low
SN-38,1.11,26.482520230090056,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),low
nutlin-3,10.0,25.96352204995823,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),low
topotecan,1.11,23.513249946528088,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),low
lapatinib,10.0,23.467421277670347,HSPB1(19); ERBB2(19); RB1(16); EGR1(16); KDM5A(15),low
