drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.50380554350981,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),high
docetaxel,10.0,60.077077194866014,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),high
vinorelbine,10.0,52.42733518279077,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),high
vinblastine,10.0,47.93517218199784,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),moderate
methotrexate,10.0,43.49882963502511,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),moderate
temsirolimus,10.0,42.83949599296786,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),moderate
MG-132,10.0,32.86144636947704,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),moderate
lestaurtinib,10.0,28.631175019023868,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
navitoclax,10.0,27.404638842532567,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
lapatinib,10.0,26.54991013241148,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
bortezomib,10.0,25.70861881754716,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
ABT-737,10.0,23.47390780851684,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
AZD-6482,10.0,23.336518119407124,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
foretinib,10.0,23.073454512062565,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
MK-1775,10.0,21.77667955064288,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
staurosporine,10.0,21.692218122512646,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
gemcitabine,10.0,19.773015524855662,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
sorafenib,10.0,19.16937212307176,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
epirubicin,10.0,17.86103491353879,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
nilotinib,10.0,16.692994822494946,CHEK1(16); EGR1(11); HSPB1(10); JUN(9); CCND1(8),low
