drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),very_high
sirolimus,1.11,99.56294590797114,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),very_high
docetaxel,1.11,66.7511814286073,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),high
paclitaxel,10.0,66.05541530701069,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),high
vinorelbine,10.0,49.82692474865614,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
vinblastine,10.0,48.43356343975186,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
NVP-BEZ235,10.0,34.01906396567634,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
NVP-AUY922,1.11,33.94661304400028,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
lestaurtinib,10.0,33.14411058453796,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
methotrexate,10.0,32.851474323786704,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
epirubicin,10.0,31.446083937302944,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
camptothecin,1.11,30.60000660463828,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
gemcitabine,10.0,30.187800531423385,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),moderate
staurosporine,10.0,28.88824465518334,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),low
GDC-0941,10.0,28.480992287187778,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),low
SN-38,1.11,25.295794629580378,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),low
tanespimycin,10.0,25.25192223507654,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),low
nutlin-3,10.0,24.188912758193652,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),low
topotecan,1.11,22.326524346018402,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),low
lapatinib,10.0,22.128897989467184,JUN(17); KDM5A(17); EGR1(13); PPARG(11); RB1(10),low
