drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),very_high
sirolimus,1.11,99.947813845167,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),very_high
docetaxel,1.11,67.15809652257522,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),high
paclitaxel,10.0,66.46233040097862,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),high
vinorelbine,10.0,48.7500593544239,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
vinblastine,10.0,47.62567515700933,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
NVP-BEZ235,10.0,34.9541569819272,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
NVP-AUY922,1.11,34.88170606025114,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
lestaurtinib,10.0,34.07920360078882,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
epirubicin,10.0,32.38117695355384,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
camptothecin,1.11,31.558925716484822,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
methotrexate,10.0,31.53612763924871,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
gemcitabine,10.0,30.282971836641867,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),moderate
staurosporine,10.0,29.823337671434224,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),low
GDC-0941,10.0,28.90251906438959,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),low
SN-38,1.11,26.25471374142687,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),low
tanespimycin,10.0,25.636790172272338,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),low
nutlin-3,10.0,23.93891607785729,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),low
topotecan,1.11,23.2854434578649,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),low
lapatinib,10.0,22.60572451479859,PPARG(35); RB1(24); JUN(17); HES1(16); PMAIP1(14),low
