drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.60909709776199,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),high
docetaxel,10.0,60.1823687491182,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),high
vinorelbine,10.0,52.682713022557316,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),high
vinblastine,10.0,48.19055002176439,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),moderate
methotrexate,10.0,43.8789110801853,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),moderate
temsirolimus,10.0,42.84664587426032,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),moderate
MG-132,10.0,33.60890440795905,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),moderate
lestaurtinib,10.0,29.02274598693996,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
navitoclax,10.0,27.7132183920536,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
lapatinib,10.0,27.137096068317444,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
bortezomib,10.0,26.501927203443653,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
AZD-6482,10.0,23.979740219789246,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
ABT-737,10.0,23.782487358037883,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
foretinib,10.0,23.37468269924359,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
MK-1775,10.0,22.41990165102498,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
staurosporine,10.0,22.13842833802522,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
gemcitabine,10.0,20.153096970015863,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
sorafenib,10.0,19.415961062656308,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
epirubicin,10.0,18.32764173689208,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
nilotinib,10.0,16.994223009675977,CCL2(37); PPARG(29); EGR1(17); SRC(15); ABL1(14),low
